,Month,Day,isWeekend,is_Month_Start,is_Month_End,is_Quarter_Start,is_Quarter_End,is_Year_Start,is_Year_End,IncidntCount,isNeighborhood_1.0,isNeighborhood_2.0,isNeighborhood_3.0,isNeighborhood_4.0,isNeighborhood_5.0,isNeighborhood_6.0,isNeighborhood_7.0,isNeighborhood_9.0,isNeighborhood_10.0,isNeighborhood_11.0,isNeighborhood_12.0,isNeighborhood_13.0,isNeighborhood_14.0,isNeighborhood_15.0,isNeighborhood_16.0,isNeighborhood_17.0,isNeighborhood_18.0,isNeighborhood_19.0,isNeighborhood_20.0,isNeighborhood_21.0,isNeighborhood_22.0,isNeighborhood_23.0,isNeighborhood_24.0,isNeighborhood_25.0,isNeighborhood_26.0,isNeighborhood_27.0,isNeighborhood_28.0,isNeighborhood_29.0,isNeighborhood_30.0,isNeighborhood_31.0,isNeighborhood_32.0,isNeighborhood_33.0,isNeighborhood_34.0,isNeighborhood_35.0,isNeighborhood_36.0,isNeighborhood_37.0,isNeighborhood_38.0,isNeighborhood_39.0,isNeighborhood_40.0,isNeighborhood_41.0,Pred_IncidntCount,Analysis Neighborhood,Year,Date
4412,9,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.386942251879308,Outer Richmond,2020,2020-09-04
4413,9,4,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.3519551754946,South of Market,2020,2020-09-04
4414,9,4,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.971603771020247,Financial District/South Beach,2020,2020-09-04
4415,9,4,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.400455278964079,Excelsior,2020,2020-09-04
4417,9,4,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.631075731300501,Haight Ashbury,2020,2020-09-04
4418,9,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.386942251879308,Outer Richmond,2020,2020-09-04
4419,9,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.46811098773272,Sunset/Parkside,2020,2020-09-03
4420,9,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.545731560891562,Financial District/South Beach,2020,2020-09-03
4421,9,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4707295026121532,Golden Gate Park,2020,2020-09-03
4422,9,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.373063144589578,Bernal Heights,2020,2020-09-03
4423,9,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.189145521635956,Financial District/South Beach,2020,2020-09-02
4424,9,4,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.480997181113768,Castro/Upper Market,2020,2020-09-04
4427,9,4,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.971603771020247,Financial District/South Beach,2020,2020-09-04
